period,MBBL,MBBL/D,Rolling_Avg_12m
1981-01-01,28698,926,
1981-02-01,27285,974,
1981-03-01,30245,976,
1981-04-01,28789,960,
1981-05-01,30033,969,
1981-06-01,29710,990,
1981-07-01,28674,925,
1981-08-01,30946,998,
1981-09-01,30472,1016,
1981-10-01,30406,981,
1981-11-01,29798,993,
1981-12-01,30597,987,974.5833333333334
1982-01-01,29383,948,976.4166666666666
1982-02-01,29602,1057,983.3333333333334
1982-03-01,31623,1020,987.0
1982-04-01,28328,944,985.6666666666666
1982-05-01,31887,1029,990.6666666666666
1982-06-01,31563,1052,995.8333333333334
1982-07-01,31593,1019,1003.6666666666666
1982-08-01,31647,1021,1005.5833333333334
1982-09-01,31966,1066,1009.75
1982-10-01,32063,1034,1014.1666666666666
1982-11-01,31388,1046,1018.5833333333334
1982-12-01,31393,1013,1020.75
1983-01-01,32814,1059,1030.0
1983-02-01,29818,1065,1030.6666666666667
1983-03-01,32343,1043,1032.5833333333333
1983-04-01,32352,1078,1043.75
1983-05-01,31863,1028,1043.6666666666667
1983-06-01,31605,1054,1043.8333333333333
1983-07-01,31261,1008,1042.9166666666667
1983-08-01,32771,1057,1045.9166666666667
1983-09-01,31321,1044,1044.0833333333333
1983-10-01,31986,1032,1043.9166666666667
1983-11-01,32139,1071,1046.0
1983-12-01,28606,923,1038.5
1984-01-01,32192,1038,1036.75
1984-02-01,32089,1107,1040.25
1984-03-01,32280,1041,1040.0833333333333
1984-04-01,32825,1094,1041.4166666666667
1984-05-01,33535,1082,1045.9166666666667
1984-06-01,32745,1092,1049.0833333333333
1984-07-01,33525,1081,1055.1666666666667
1984-08-01,31689,1022,1052.25
1984-09-01,33525,1118,1058.4166666666667
1984-10-01,33727,1088,1063.0833333333333
1984-11-01,32837,1095,1065.0833333333333
1984-12-01,32790,1058,1076.3333333333333
1985-01-01,31766,1025,1075.25
1985-02-01,28655,1023,1068.25
1985-03-01,32804,1058,1069.6666666666667
1985-04-01,32584,1086,1069.0
1985-05-01,33364,1076,1068.5
1985-06-01,30975,1033,1063.5833333333333
1985-07-01,32567,1051,1061.0833333333333
1985-08-01,33041,1066,1064.75
1985-09-01,31279,1043,1058.5
1985-10-01,33615,1084,1058.1666666666667
1985-11-01,31041,1035,1053.1666666666667
1985-12-01,32391,1045,1052.0833333333333
1986-01-01,33136,1069,1055.75
1986-02-01,29650,1059,1058.75
1986-03-01,31547,1018,1055.4166666666667
1986-04-01,30116,1004,1048.5833333333333
1986-05-01,29705,958,1038.75
1986-06-01,28561,952,1032.0
1986-07-01,29240,943,1023.0
1986-08-01,27491,887,1008.0833333333334
1986-09-01,27148,905,996.5833333333334
1986-10-01,27835,898,981.0833333333334
1986-11-01,26233,874,967.6666666666666
1986-12-01,28152,908,956.25
1987-01-01,26595,858,938.6666666666666
1987-02-01,24991,893,924.8333333333334
1987-03-01,27277,880,913.3333333333334
1987-04-01,27207,907,905.25
1987-05-01,26253,847,896.0
1987-06-01,26239,875,889.5833333333334
1987-07-01,26937,869,883.4166666666666
1987-08-01,26154,844,879.8333333333334
1987-09-01,25904,863,876.3333333333334
1987-10-01,26849,866,873.6666666666666
1987-11-01,25214,840,870.8333333333334
1987-12-01,26041,840,865.1666666666666
1988-01-01,25415,820,862.0
1988-02-01,25137,867,859.8333333333334
1988-03-01,26503,855,857.75
1988-04-01,25518,851,853.0833333333334
1988-05-01,26115,842,852.6666666666666
1988-06-01,25542,851,850.6666666666666
1988-07-01,24865,802,845.0833333333334
1988-08-01,25536,824,843.4166666666666
1988-09-01,24357,812,839.1666666666666
1988-10-01,24532,791,832.9166666666666
1988-11-01,23708,790,828.75
1988-12-01,24766,799,825.3333333333334
1989-01-01,25126,811,824.5833333333334
1989-02-01,21010,750,814.8333333333334
1989-03-01,24654,795,809.8333333333334
1989-04-01,23686,790,804.75
1989-05-01,24143,779,799.5
1989-06-01,23133,771,792.8333333333334
1989-07-01,23434,756,789.0
1989-08-01,23639,763,783.9166666666666
1989-09-01,22607,754,779.0833333333334
1989-10-01,23556,760,776.5
1989-11-01,22639,755,773.5833333333334
1989-12-01,21490,693,764.75
1990-01-01,24345,785,762.5833333333334
1990-02-01,20835,744,762.0833333333334
1990-03-01,23107,745,757.9166666666666
1990-04-01,22070,736,753.4166666666666
1990-05-01,22849,737,749.9166666666666
1990-06-01,21677,723,745.9166666666666
1990-07-01,22537,727,743.5
1990-08-01,23623,762,743.4166666666666
1990-09-01,21949,732,741.5833333333334
1990-10-01,23664,763,741.8333333333334
1990-11-01,22679,756,741.9166666666666
1990-12-01,21322,688,741.5
1991-01-01,22350,721,736.1666666666666
1991-02-01,21209,757,737.25
1991-03-01,22924,739,736.75
1991-04-01,22415,747,737.6666666666666
1991-05-01,22893,738,737.75
1991-06-01,21600,720,737.5
1991-07-01,22677,732,737.9166666666666
1991-08-01,22294,719,734.3333333333334
1991-09-01,21011,700,731.6666666666666
1991-10-01,21785,703,726.6666666666666
1991-11-01,20781,693,721.4166666666666
1991-12-01,21347,689,721.5
1992-01-01,21647,698,719.5833333333334
1992-02-01,20159,695,714.4166666666666
1992-03-01,21568,696,710.8333333333334
1992-04-01,21232,708,707.5833333333334
1992-05-01,20880,674,702.25
1992-06-01,20583,686,699.4166666666666
1992-07-01,21027,678,694.9166666666666
1992-08-01,20766,670,690.8333333333334
1992-09-01,20189,673,688.5833333333334
1992-10-01,20661,666,685.5
1992-11-01,18948,632,680.4166666666666
1992-12-01,20905,674,679.1666666666666
1993-01-01,19502,629,673.4166666666666
1993-02-01,17589,628,667.8333333333334
1993-03-01,20409,658,664.6666666666666
1993-04-01,19835,661,660.75
1993-05-01,19279,622,656.4166666666666
1993-06-01,19445,648,653.25
1993-07-01,20186,651,651.0
1993-08-01,19457,628,647.5
1993-09-01,18995,633,644.1666666666666
1993-10-01,19218,620,640.3333333333334
1993-11-01,18608,620,639.3333333333334
1993-12-01,18404,594,632.6666666666666
1994-01-01,18103,584,628.9166666666666
1994-02-01,16904,604,626.9166666666666
1994-03-01,19016,613,623.1666666666666
1994-04-01,18032,601,618.1666666666666
1994-05-01,18784,606,616.8333333333334
1994-06-01,18122,604,613.1666666666666
1994-07-01,17931,578,607.0833333333334
1994-08-01,18256,589,603.8333333333334
1994-09-01,17528,584,599.75
1994-10-01,17740,572,595.75
1994-11-01,17605,587,593.0
1994-12-01,18089,584,592.1666666666666
1995-01-01,17906,578,591.6666666666666
1995-02-01,16674,596,591.0
1995-03-01,18100,584,588.5833333333334
1995-04-01,17427,581,586.9166666666666
1995-05-01,17681,570,583.9166666666666
1995-06-01,17313,577,581.6666666666666
1995-07-01,16984,548,579.1666666666666
1995-08-01,17782,574,577.9166666666666
1995-09-01,16869,562,576.0833333333334
1995-10-01,17485,564,575.4166666666666
1995-11-01,17130,571,574.0833333333334
1995-12-01,16982,548,571.0833333333334
1996-01-01,17303,558,569.4166666666666
1996-02-01,16390,565,566.8333333333334
1996-03-01,17336,559,564.75
1996-04-01,17601,587,565.25
1996-05-01,17544,566,564.9166666666666
1996-06-01,16770,559,563.4166666666666
1996-07-01,17408,562,564.5833333333334
1996-08-01,17076,551,562.6666666666666
1996-09-01,17061,569,563.25
1996-10-01,17631,569,563.6666666666666
1996-11-01,16025,534,560.5833333333334
1996-12-01,17477,564,561.9166666666666
1997-01-01,17195,555,561.6666666666666
1997-02-01,15697,561,561.3333333333334
1997-03-01,17657,570,562.25
1997-04-01,16613,554,559.5
1997-05-01,18187,587,561.25
1997-06-01,17090,570,562.1666666666666
1997-07-01,17818,575,563.25
1997-08-01,17085,551,563.25
1997-09-01,16987,566,563.0
1997-10-01,16676,538,560.4166666666666
1997-11-01,15787,526,559.75
1997-12-01,17571,567,560.0
1998-01-01,17308,558,560.25
1998-02-01,15524,554,559.6666666666666
1998-03-01,15592,503,554.0833333333334
1998-04-01,16516,551,553.8333333333334
