period,MBBL,MBBL/D,Rolling_Avg_12m,year,month,quarter,dayofyear,weekofyear,is_month_start,is_month_end,lag_1,lag_2,lag_3,lag_4,rolling_mean_3,rolling_mean_6,rolling_std_3,rolling_std_6,target
1981-12-01,30597,987,974.5833333333334,1981,12,4,335,49,1,0,993.0,981.0,1016.0,998.0,996.6666666666666,983.8333333333334,17.785762095938978,31.070350282329695,948.0
1982-01-01,29383,948,976.4166666666666,1982,1,1,1,53,1,0,987.0,993.0,981.0,1016.0,987.0,983.3333333333334,6.000000000000479,30.97525894430368,1057.0
1982-02-01,29602,1057,983.3333333333334,1982,2,1,32,5,1,0,948.0,987.0,993.0,981.0,976.0,987.1666666666666,24.43358344574135,22.604571808965197,1020.0
1982-03-01,31623,1020,987.0,1982,3,1,60,9,1,0,1057.0,948.0,987.0,993.0,997.3333333333334,997.0,55.229822861687126,36.69877382147798,944.0
1982-04-01,28328,944,985.6666666666666,1982,4,2,91,13,1,0,1020.0,1057.0,948.0,987.0,1008.3333333333334,997.6666666666666,55.42863279328958,37.14655659232311,1029.0
1982-05-01,31887,1029,990.6666666666666,1982,5,2,121,17,1,0,944.0,1020.0,1057.0,948.0,1007.0,991.5,57.61076288333632,43.066228067942035,1052.0
1982-06-01,31563,1052,995.8333333333334,1982,6,2,152,22,1,0,1029.0,944.0,1020.0,1057.0,997.6666666666666,997.5,46.69403959107989,45.74166590757268,1019.0
1982-07-01,31593,1019,1003.6666666666666,1982,7,3,182,26,1,0,1052.0,1029.0,944.0,1020.0,1008.3333333333334,1008.3333333333334,56.88878038184098,50.234118551704086,1021.0
1982-08-01,31647,1021,1005.5833333333334,1982,8,3,213,30,1,0,1019.0,1052.0,1029.0,944.0,1033.3333333333333,1020.1666666666666,16.921386861996037,40.62224349622576,1066.0
1982-09-01,31966,1066,1009.75,1982,9,3,244,35,1,0,1021.0,1019.0,1052.0,1029.0,1030.6666666666667,1014.1666666666666,18.502252115170545,36.54814176762833,1034.0
1982-10-01,32063,1034,1014.1666666666666,1982,10,4,274,39,1,0,1066.0,1021.0,1019.0,1052.0,1035.3333333333333,1021.8333333333334,26.576932353703466,42.37648719120846,1046.0
1982-11-01,31388,1046,1018.5833333333334,1982,11,4,305,44,1,0,1034.0,1066.0,1021.0,1019.0,1040.3333333333333,1036.8333333333333,23.15887159024221,18.540945678865768,1013.0
1982-12-01,31393,1013,1020.75,1982,12,4,335,48,1,0,1046.0,1034.0,1066.0,1021.0,1048.6666666666667,1039.6666666666667,16.165807537309227,18.402898322455908,1059.0
1983-01-01,32814,1059,1030.0,1983,1,1,1,52,1,0,1013.0,1046.0,1034.0,1066.0,1031.0,1033.1666666666667,16.70329308848981,19.99416581572363,1065.0
1983-02-01,29818,1065,1030.6666666666667,1983,2,1,32,5,1,0,1059.0,1013.0,1046.0,1034.0,1039.3333333333333,1039.8333333333333,23.713568549109727,20.970614360734675,1043.0
1983-03-01,32343,1043,1032.5833333333333,1983,3,1,60,9,1,0,1065.0,1059.0,1013.0,1046.0,1045.6666666666667,1047.1666666666667,28.448784391135668,20.75973667141886,1078.0
1983-04-01,32352,1078,1043.75,1983,4,2,91,13,1,0,1043.0,1065.0,1059.0,1013.0,1055.6666666666667,1043.3333333333333,11.372481406154217,18.597490870186007,1028.0
1983-05-01,31863,1028,1043.6666666666667,1983,5,2,121,17,1,0,1078.0,1043.0,1065.0,1059.0,1062.0,1050.6666666666667,17.691806012953855,22.45588267395994,1054.0
1983-06-01,31605,1054,1043.8333333333333,1983,6,2,152,22,1,0,1028.0,1078.0,1043.0,1065.0,1049.6666666666667,1047.6666666666667,25.658007197234255,24.328309983775146,1008.0
1983-07-01,31261,1008,1042.9166666666667,1983,7,3,182,26,1,0,1054.0,1028.0,1078.0,1043.0,1053.3333333333333,1054.5,25.006665778014558,17.421251390184022,1057.0
1983-08-01,32771,1057,1045.9166666666667,1983,8,3,213,31,1,0,1008.0,1054.0,1028.0,1078.0,1030.0,1046.0,23.06512518934137,25.400787389370198,1044.0
1983-09-01,31321,1044,1044.0833333333333,1983,9,3,244,35,1,0,1057.0,1008.0,1054.0,1028.0,1039.6666666666667,1044.6666666666667,27.465129406819152,24.393988330460736,1032.0
1983-10-01,31986,1032,1043.9166666666667,1983,10,4,274,39,1,0,1044.0,1057.0,1008.0,1054.0,1036.3333333333333,1044.8333333333333,25.383721817994367,24.38373775012056,1071.0
1983-11-01,32139,1071,1046.0,1983,11,4,305,44,1,0,1032.0,1044.0,1057.0,1008.0,1044.3333333333333,1037.1666666666667,12.503332889007003,18.356651837049487,923.0
1983-12-01,28606,923,1038.5,1983,12,4,335,48,1,0,1071.0,1032.0,1044.0,1057.0,1049.0,1044.3333333333333,19.974984355437932,22.0786473015594,1038.0
1984-01-01,32192,1038,1036.75,1984,1,1,1,52,1,0,923.0,1071.0,1032.0,1044.0,1008.6666666666666,1022.5,76.70940837559185,53.301969944833864,1107.0
1984-02-01,32089,1107,1040.25,1984,2,1,32,5,1,0,1038.0,923.0,1071.0,1032.0,1010.6666666666666,1027.5,77.6938435999489,53.07636008620011,1041.0
1984-03-01,32280,1041,1040.0833333333333,1984,3,1,61,9,1,0,1107.0,1038.0,923.0,1071.0,1022.6666666666666,1035.8333333333333,92.95339333952968,61.8366126713507,1094.0
1984-04-01,32825,1094,1041.4166666666667,1984,4,2,92,13,1,0,1041.0,1107.0,1038.0,923.0,1062.0,1035.3333333333333,38.999999999999886,61.7694638690239,1082.0
1984-05-01,33535,1082,1045.9166666666667,1984,5,2,122,18,1,0,1094.0,1041.0,1107.0,1038.0,1080.6666666666667,1045.6666666666667,34.96188400720595,66.13219085034653,1092.0
1984-06-01,32745,1092,1049.0833333333333,1984,6,2,153,22,1,0,1082.0,1094.0,1041.0,1107.0,1072.3333333333333,1047.5,27.790885796126137,67.12004171631595,1081.0
1984-07-01,33525,1081,1055.1666666666667,1984,7,3,183,26,1,0,1092.0,1082.0,1094.0,1041.0,1089.3333333333333,1075.6666666666667,6.4291005073281795,29.138748543248965,1022.0
1984-08-01,31689,1022,1052.25,1984,8,3,214,31,1,0,1081.0,1092.0,1082.0,1094.0,1085.0,1082.8333333333333,6.082762530297715,22.56915298957193,1118.0
1984-09-01,33525,1118,1058.4166666666667,1984,9,3,245,35,1,0,1022.0,1081.0,1092.0,1082.0,1065.0,1068.6666666666667,37.64306044943734,29.86413679761536,1088.0
1984-10-01,33727,1088,1063.0833333333333,1984,10,4,275,40,1,0,1118.0,1022.0,1081.0,1092.0,1073.6666666666667,1081.5,48.4183160935335,32.06087958868305,1095.0
1984-11-01,32837,1095,1065.0833333333333,1984,11,4,306,44,1,0,1088.0,1118.0,1022.0,1081.0,1076.0,1080.5,49.11211663123461,31.68438101020805,1058.0
1984-12-01,32790,1058,1076.3333333333333,1984,12,4,336,48,1,0,1095.0,1088.0,1118.0,1022.0,1100.3333333333333,1082.6666666666667,15.6950098226578,32.24696368135614,1025.0
1985-01-01,31766,1025,1075.25,1985,1,1,1,1,1,0,1058.0,1095.0,1088.0,1118.0,1080.3333333333333,1077.0,19.655363983740482,33.25056390499306,1023.0
1985-02-01,28655,1023,1068.25,1985,2,1,32,5,1,0,1025.0,1058.0,1095.0,1088.0,1059.3333333333333,1067.6666666666667,35.01904243884062,39.225841822281886,1058.0
1985-03-01,32804,1058,1069.6666666666667,1985,3,1,60,9,1,0,1023.0,1025.0,1058.0,1095.0,1035.3333333333333,1067.8333333333333,19.655363983740358,38.994444048693396,1086.0
1985-04-01,32584,1086,1069.0,1985,4,2,91,14,1,0,1058.0,1023.0,1025.0,1058.0,1035.3333333333333,1057.8333333333333,19.655363983740358,30.274852050285336,1076.0
1985-05-01,33364,1076,1068.5,1985,5,2,121,18,1,0,1086.0,1058.0,1023.0,1025.0,1055.6666666666667,1057.5,31.564748269759995,29.8847787343323,1033.0
1985-06-01,30975,1033,1063.5833333333333,1985,6,2,152,22,1,0,1076.0,1086.0,1058.0,1023.0,1073.3333333333333,1054.3333333333333,14.189197769194523,25.850854273440593,1051.0
1985-07-01,32567,1051,1061.0833333333333,1985,7,3,182,27,1,0,1033.0,1076.0,1086.0,1058.0,1065.0,1050.1666666666667,28.160255680657134,27.12501920122184,1066.0
1985-08-01,33041,1066,1064.75,1985,8,3,213,31,1,0,1051.0,1033.0,1076.0,1086.0,1053.3333333333333,1054.5,21.59475244899361,24.22189092535915,1043.0
1985-09-01,31279,1043,1058.5,1985,9,3,244,35,1,0,1066.0,1051.0,1033.0,1076.0,1050.0,1061.6666666666667,16.52271164185773,18.790068298616667,1084.0
1985-10-01,33615,1084,1058.1666666666667,1985,10,4,274,40,1,0,1043.0,1066.0,1051.0,1033.0,1053.3333333333333,1059.1666666666667,11.676186592090488,20.311737165163215,1035.0
1985-11-01,31041,1035,1053.1666666666667,1985,11,4,305,44,1,0,1084.0,1043.0,1066.0,1051.0,1064.3333333333333,1058.8333333333333,20.550750189064022,19.793096439583966,1045.0
1985-12-01,32391,1045,1052.0833333333333,1985,12,4,335,48,1,0,1035.0,1084.0,1043.0,1066.0,1054.0,1052.0,26.28687885618948,19.75854245636523,1069.0
1986-01-01,33136,1069,1055.75,1986,1,1,1,1,1,0,1045.0,1035.0,1084.0,1043.0,1054.6666666666667,1054.0,25.89079630550817,17.977764043395187,1059.0
1986-02-01,29650,1059,1058.75,1986,2,1,32,5,1,0,1069.0,1045.0,1035.0,1084.0,1049.6666666666667,1057.0,17.473789896107714,18.857359306117104,1018.0
1986-03-01,31547,1018,1055.4166666666667,1986,3,1,60,9,1,0,1059.0,1069.0,1045.0,1035.0,1057.6666666666667,1055.8333333333333,12.055427546682663,18.40018115852844,1004.0
1986-04-01,30116,1004,1048.5833333333333,1986,4,2,91,14,1,0,1018.0,1059.0,1069.0,1045.0,1048.6666666666667,1051.6666666666667,27.02468007827875,23.897001206566735,958.0
1986-05-01,29705,958,1038.75,1986,5,2,121,18,1,0,1004.0,1018.0,1059.0,1069.0,1027.0,1038.3333333333333,28.583211855912626,24.557415716369903,952.0
1986-06-01,28561,952,1032.0,1986,6,2,152,22,1,0,958.0,1004.0,1018.0,1059.0,993.3333333333334,1025.5,31.390019645315906,41.157016412756526,943.0
1986-07-01,29240,943,1023.0,1986,7,3,182,27,1,0,952.0,958.0,1004.0,1018.0,971.3333333333334,1010.0,28.448784391135586,49.09175083453297,887.0
1986-08-01,27491,887,1008.0833333333334,1986,8,3,213,31,1,0,943.0,952.0,958.0,1004.0,951.0,989.0,7.549834435269921,45.63332115899314,905.0
1986-09-01,27148,905,996.5833333333334,1986,9,3,244,36,1,0,887.0,943.0,952.0,958.0,927.3333333333334,960.3333333333334,35.21836642056701,46.87287772973195,898.0
1986-10-01,27835,898,981.0833333333334,1986,10,4,274,40,1,0,905.0,887.0,943.0,952.0,911.6666666666666,941.5,28.58904218985523,41.45720685236385,874.0
1986-11-01,26233,874,967.6666666666666,1986,11,4,305,44,1,0,898.0,905.0,887.0,943.0,896.6666666666666,923.8333333333334,9.073771725876822,30.68169921412931,908.0
1986-12-01,28152,908,956.25,1986,12,4,335,49,1,0,874.0,898.0,905.0,887.0,892.3333333333334,909.8333333333334,16.25833119767593,31.134653790692223,858.0
1987-01-01,26595,858,938.6666666666666,1987,1,1,1,1,1,0,908.0,874.0,898.0,905.0,893.3333333333334,902.5,17.473789896107895,23.44994669502641,893.0
1987-02-01,24991,893,924.8333333333334,1987,2,1,32,5,1,0,858.0,908.0,874.0,898.0,880.0,888.3333333333334,25.5342906696072,19.418204517055912,880.0
1987-03-01,27277,880,913.3333333333334,1987,3,1,60,9,1,0,893.0,858.0,908.0,874.0,886.3333333333334,889.3333333333334,25.658007197234205,19.490168461719698,907.0
1987-04-01,27207,907,905.25,1987,4,2,91,14,1,0,880.0,893.0,858.0,908.0,877.0,885.1666666666666,17.69180601295384,18.09327683605715,847.0
1987-05-01,26253,847,896.0,1987,5,2,121,18,1,0,907.0,880.0,893.0,858.0,893.3333333333334,886.6666666666666,13.503086067018998,19.674009928487024,875.0
1987-06-01,26239,875,889.5833333333334,1987,6,2,152,23,1,0,847.0,907.0,880.0,893.0,878.0,882.1666666666666,30.049958402633262,25.404067915713703,869.0
1987-07-01,26937,869,883.4166666666666,1987,7,3,182,27,1,0,875.0,847.0,907.0,880.0,876.3333333333334,876.6666666666666,30.022213997860362,22.042383416186652,844.0
1987-08-01,26154,844,879.8333333333334,1987,8,3,213,31,1,0,869.0,875.0,847.0,907.0,863.6666666666666,878.5,14.74222959166366,20.58883192411649,863.0
1987-09-01,25904,863,876.3333333333334,1987,9,3,244,36,1,0,844.0,869.0,875.0,847.0,862.6666666666666,870.3333333333334,16.44181660685107,23.235031023567956,866.0
1987-10-01,26849,866,873.6666666666666,1987,10,4,274,40,1,0,863.0,844.0,869.0,875.0,858.6666666666666,867.5,13.051181300300883,22.853883696201223,840.0
1987-11-01,25214,840,870.8333333333334,1987,11,4,305,44,1,0,866.0,863.0,844.0,869.0,857.6666666666666,860.6666666666666,11.930353445448436,12.436505404097396,840.0
1987-12-01,26041,840,865.1666666666666,1987,12,4,335,49,1,0,840.0,866.0,863.0,844.0,856.3333333333334,859.5,14.224392195567592,14.180973168279902,820.0
